GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MatchingEngine,default,Order,12,269,7,25,2,59,7,22,0,13
MatchingEngine,default,Broker,9,211,4,14,2,46,4,17,0,12
MatchingEngine,default,OrderBook,40,309,6,24,6,74,7,27,1,18
MatchingEngine,default,Shareholder,39,222,7,15,6,49,7,16,0,12
MatchingEngine,default,WaveletTransform,87,0,2,0,13,0,3,0,2,0
MatchingEngine,default,TrisectionFrequencyConversion,117,0,6,0,15,0,5,0,2,0
MatchingEngine,default,MatchingEngine,4,418,10,56,0,93,9,35,0,11
MatchingEngine,default,ART_WT,99,0,10,0,23,0,10,0,5,0
MatchingEngine,default,Trade,4,105,1,1,0,25,1,4,0,4
MatchingEngine,default,Environment,2,168,1,11,1,38,1,16,0,11
MatchingEngine,default,FrequencyTransform,108,0,8,0,24,0,8,0,4,0
MatchingEngine,default,ART_TFC,99,0,10,0,23,0,10,0,5,0
MatchingEngine,default,ART_FT,99,0,10,0,23,0,10,0,5,0
MatchingEngine,default,Distance,34,0,2,0,5,0,3,0,2,0
